"m","r","alpha","methods","alpha_prime","t1_err_alpha_prime"
2,2,0.001,"Fisher",0.000875,0.001
2,2,0.001,"Simes",0.00075,8e-04
2,2,0.005,"Fisher",0.00375,0.00516942369263607
2,2,0.005,"Simes",0.00375,0.00500266808964781
2,2,0.01,"Fisher",0.0075,0.00956666666666666
2,2,0.01,"Simes",0.0075,0.0101333333333333
2,2,0.02,"Fisher",0.015,0.0187666666666667
2,2,0.02,"Simes",0.015,0.0152666666666667
2,2,0.03,"Fisher",0.0225,0.0275813767342583
2,2,0.03,"Simes",0.0225,0.0278481856990395
2,2,0.04,"Fisher",0.0325,0.0372666666666667
2,2,0.04,"Simes",0.0325,0.0389
2,2,0.05,"Fisher",0.0425,0.048
2,2,0.05,"Simes",0.0425,0.0498
2,2,0.06,"Fisher",0.0525,0.06
2,2,0.06,"Simes",0.0525,0.0609666666666667
2,2,0.07,"Fisher",0.0625,0.0739394343649947
2,2,0.07,"Simes",0.05875,0.0661019210245464
2,2,0.08,"Fisher",0.0725,0.0836666666666667
2,2,0.08,"Simes",0.065,0.0777
2,2,0.09,"Fisher",0.07875,0.0919333333333333
2,2,0.09,"Simes",0.075,0.087
2,2,0.1,"Fisher",0.085,0.0978666666666667
2,2,0.1,"Simes",0.08875,0.101633333333333
2,2,0.12,"Fisher",0.105,0.119196905016009
2,2,0.12,"Simes",0.105,0.122365261472785
2,2,0.14,"Fisher",0.12546875,0.141542155816435
2,2,0.14,"Simes",0.125,0.140975186766275
2,2,0.16,"Fisher",0.145,0.163
2,2,0.16,"Simes",0.145,0.162566666666667
2,2,0.18,"Fisher",0.16125,0.180733333333333
2,2,0.18,"Simes",0.165,0.183666666666667
2,2,0.2,"Fisher",0.1775,0.197066666666667
2,2,0.2,"Simes",0.185,0.199666666666667
2,2,0.4,"Fisher",0.385234375,0.401966666666667
2,2,0.4,"Simes",0.3775,0.4033
2,2,0.6,"Fisher",0.5775,0.597
2,2,0.6,"Simes",0.58921875,0.6036
2,2,0.8,"Fisher",0.7925,0.802033333333333
2,2,0.8,"Simes",0.7925,0.803266666666667
2,2,1,"Fisher",0.99625,0.996366666666667
2,2,1,"Simes",0.99625,0.996833333333333
3,2,0.001,"Fisher",0.00096875,0.00066773504273504
3,2,0.001,"Simes",0.00075,0.00066773504273504
3,2,0.005,"Fisher",0.004375,0.00450240128068303
3,2,0.005,"Simes",0.004375,0.0041021878335112
3,2,0.01,"Fisher",0.0075,0.00716666666666666
3,2,0.01,"Simes",0.0075,0.00796666666666666
3,2,0.02,"Fisher",0.015,0.0174666666666667
3,2,0.02,"Simes",0.015,0.0168666666666667
3,2,0.03,"Fisher",0.0225,0.0274
3,2,0.03,"Simes",0.0225,0.0215666666666667
3,2,0.04,"Fisher",0.0325,0.0386
3,2,0.04,"Simes",0.0325,0.0399666666666667
3,2,0.05,"Fisher",0.0425,0.0467333333333333
